epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,14675.2,0.54081,0.88631,0.34525,0.92262,0.73154,0.72614,0.71091,0.43422,0.72541,0.71963,0.70216,0.39414,1.49819,2.76249,1.05683,1.99374,0.000488938,0.000488938,0.000488938
125,14787.4,0.53613,0.88215,0.34353,0.92812,0.77343,0.70482,0.74673,0.45339,0.76998,0.70144,0.73121,0.42983,1.49,2.76961,1.03688,1.96287,0.00048275,0.00048275,0.00048275
126,14899.6,0.53331,0.87518,0.3405,0.91888,0.70189,0.74818,0.7272,0.44165,0.72149,0.70542,0.71088,0.41559,1.39068,2.86934,1.04561,1.84958,0.000476562,0.000476562,0.000476562
127,15011.8,0.52199,0.84538,0.33706,0.91016,0.70811,0.71357,0.70485,0.42159,0.74115,0.6996,0.71042,0.40516,1.47756,2.73839,1.06472,1.89008,0.000470375,0.000470375,0.000470375
128,15123.9,0.50818,0.84207,0.32448,0.91071,0.74441,0.7024,0.70472,0.43034,0.74307,0.69987,0.71204,0.40374,1.51329,2.81844,1.23518,1.92917,0.000464188,0.000464188,0.000464188
129,15236.1,0.5264,0.86805,0.32788,0.91747,0.72194,0.74862,0.71147,0.44071,0.72194,0.74862,0.71343,0.41025,1.42609,2.75704,0.98428,1.88669,0.000458,0.000458,0.000458
130,15348.3,0.51767,0.84745,0.3286,0.91087,0.74957,0.76246,0.72991,0.4444,0.74357,0.75596,0.71925,0.41553,1.46963,2.76956,0.98851,1.96796,0.000451813,0.000451813,0.000451813
131,15460.6,0.52477,0.84962,0.32786,0.90763,0.75177,0.73242,0.72283,0.43989,0.74825,0.72904,0.716,0.41402,1.45564,2.79819,0.96883,1.93183,0.000445625,0.000445625,0.000445625
132,15572.8,0.50547,0.82969,0.3233,0.91197,0.73298,0.75514,0.72463,0.43659,0.73159,0.74772,0.72328,0.4095,1.45777,2.80041,1.02867,1.91971,0.000439437,0.000439437,0.000439437
133,15685,0.50836,0.84289,0.32882,0.90693,0.69326,0.73792,0.73147,0.44283,0.68692,0.73158,0.7177,0.4218,1.44779,3.05248,1.04352,1.92244,0.00043325,0.00043325,0.00043325
134,15797,0.50293,0.82759,0.32259,0.90473,0.74774,0.7184,0.71657,0.43982,0.75709,0.7011,0.71281,0.40632,1.45361,2.93548,1.05184,1.92522,0.000427062,0.000427062,0.000427062
135,15909.1,0.49822,0.81819,0.32114,0.90064,0.75459,0.72512,0.73436,0.4444,0.73574,0.70752,0.70873,0.40751,1.44339,2.93669,0.96493,1.95037,0.000420875,0.000420875,0.000420875
136,16021.3,0.48853,0.8047,0.31053,0.89005,0.75595,0.73085,0.71318,0.43516,0.73775,0.71318,0.69043,0.40656,1.52244,3.02588,0.99683,2.05106,0.000414688,0.000414688,0.000414688
137,16133.3,0.48599,0.80759,0.31341,0.90382,0.73259,0.7534,0.71038,0.43521,0.7423,0.73173,0.7104,0.40328,1.48726,3.01418,1.16345,2.0301,0.0004085,0.0004085,0.0004085
138,16245.4,0.50405,0.82568,0.31895,0.90339,0.71197,0.74462,0.7157,0.42948,0.74687,0.69608,0.71045,0.41427,1.48747,3.02028,0.97959,1.99312,0.000402312,0.000402312,0.000402312
139,16357.3,0.48333,0.79222,0.30875,0.90616,0.7026,0.77328,0.70807,0.41879,0.69364,0.76251,0.7109,0.3911,1.49381,3.11066,1.00915,2.07583,0.000396125,0.000396125,0.000396125
140,16469.5,0.49266,0.80321,0.31766,0.89606,0.74829,0.71513,0.71705,0.43197,0.75332,0.7191,0.71027,0.40474,1.42901,3.18079,0.97337,2.00725,0.000389938,0.000389938,0.000389938
141,16581.6,0.47815,0.79038,0.30455,0.90118,0.75554,0.72797,0.70992,0.42628,0.71309,0.77812,0.70777,0.3924,1.43581,3.18355,1.00702,2.05393,0.00038375,0.00038375,0.00038375
142,16693.8,0.47964,0.80101,0.30684,0.89678,0.75337,0.75622,0.70737,0.43022,0.75446,0.75681,0.71166,0.40681,1.44002,3.13215,1.01644,2.00753,0.000377563,0.000377563,0.000377563
143,16805.9,0.47502,0.78101,0.29708,0.89641,0.74402,0.73422,0.70659,0.43103,0.74852,0.73819,0.70924,0.39983,1.49012,3.03557,1.06494,2.12284,0.000371375,0.000371375,0.000371375
144,16918,0.48088,0.78902,0.30373,0.89339,0.75488,0.7387,0.72137,0.4288,0.76064,0.74325,0.72754,0.40374,1.4604,3.07524,1.04663,2.05614,0.000365188,0.000365188,0.000365188
145,17030.1,0.46674,0.78138,0.2947,0.88973,0.73271,0.74093,0.72368,0.44268,0.73774,0.74488,0.7264,0.41129,1.43681,3.11041,1.02877,1.99969,0.000359,0.000359,0.000359
146,17142.4,0.48095,0.7927,0.30572,0.89485,0.67658,0.77662,0.70351,0.43121,0.67727,0.77721,0.68738,0.40005,1.43217,2.99683,1.057,1.94614,0.000352812,0.000352812,0.000352812
147,17254.9,0.48624,0.79248,0.30234,0.89173,0.7619,0.71475,0.70195,0.4312,0.71723,0.75934,0.68812,0.39579,1.46857,2.94079,1.06358,1.98082,0.000346625,0.000346625,0.000346625
148,17367.1,0.45053,0.75649,0.28808,0.88328,0.74754,0.74879,0.70316,0.43734,0.74183,0.74558,0.70403,0.41408,1.4399,2.84343,1.01529,1.93083,0.000340438,0.000340438,0.000340438
149,17479.3,0.4631,0.76889,0.30014,0.88811,0.75194,0.73595,0.69502,0.42784,0.75718,0.73992,0.69703,0.39396,1.48253,3.02242,1.11157,2.01106,0.00033425,0.00033425,0.00033425
150,17591.4,0.46313,0.76895,0.30461,0.89017,0.7615,0.73328,0.70015,0.42885,0.75226,0.72251,0.6748,0.39002,1.46198,2.9195,1.04525,2.00143,0.000328063,0.000328063,0.000328063
151,17703.7,0.45591,0.76588,0.29171,0.88391,0.73899,0.7557,0.72026,0.42672,0.69553,0.75049,0.69504,0.39811,1.49534,3.07053,1.02769,2.07544,0.000321875,0.000321875,0.000321875
152,17815.8,0.46043,0.7483,0.29241,0.88716,0.74922,0.73112,0.71907,0.42031,0.75786,0.71045,0.70603,0.39404,1.50562,3.05643,1.10233,2.05089,0.000315687,0.000315687,0.000315687
153,17928,0.45411,0.74021,0.28798,0.88467,0.6986,0.76837,0.71271,0.43708,0.74562,0.70955,0.70406,0.41416,1.4946,3.03742,1.07266,2.00255,0.0003095,0.0003095,0.0003095
154,18040.3,0.44122,0.74991,0.28268,0.87695,0.73446,0.76526,0.72507,0.42569,0.72096,0.71147,0.67644,0.40248,1.45208,3.08726,1.02461,1.96815,0.000303313,0.000303313,0.000303313
155,18152.5,0.45001,0.74187,0.28562,0.8773,0.73305,0.74914,0.71868,0.44635,0.75969,0.71185,0.71289,0.42442,1.39129,3.13588,0.98348,1.90297,0.000297125,0.000297125,0.000297125
156,18264.4,0.44454,0.7436,0.2946,0.88434,0.72712,0.75757,0.72443,0.43652,0.69473,0.73321,0.69769,0.41195,1.50611,3.18458,1.07115,2.02839,0.000290937,0.000290937,0.000290937
157,18376.5,0.43175,0.72253,0.28272,0.87676,0.74892,0.75207,0.73284,0.44191,0.7911,0.70503,0.72731,0.41226,1.52519,3.34562,1.03578,2.11533,0.00028475,0.00028475,0.00028475
158,18488.6,0.43051,0.70725,0.27208,0.87113,0.77279,0.73712,0.73528,0.44595,0.7708,0.72217,0.71698,0.41635,1.46938,3.17819,1.00057,2.02882,0.000278562,0.000278562,0.000278562
159,18600.8,0.44286,0.72883,0.28603,0.87791,0.73686,0.74629,0.71084,0.427,0.7225,0.73154,0.68559,0.40167,1.47663,3.31959,1.04274,2.06852,0.000272375,0.000272375,0.000272375
160,18712.9,0.42822,0.70971,0.27652,0.87273,0.71165,0.78548,0.7149,0.43412,0.74729,0.7052,0.68232,0.41174,1.45847,3.24559,1.02461,2.06722,0.000266187,0.000266187,0.000266187
161,18825,0.42783,0.70401,0.2744,0.87525,0.71587,0.78898,0.72042,0.4274,0.70671,0.77796,0.70231,0.4077,1.50522,3.24264,1.02423,2.11011,0.00026,0.00026,0.00026
162,18937.3,0.44144,0.72667,0.28377,0.87564,0.72783,0.78021,0.71426,0.4242,0.71554,0.76929,0.69365,0.40707,1.48587,3.13448,1.05159,1.94392,0.000253812,0.000253812,0.000253812
163,19049.6,0.42421,0.70298,0.27639,0.87126,0.74723,0.75383,0.72605,0.42867,0.74375,0.75045,0.72192,0.41359,1.47704,3.16507,1.01308,2.03352,0.000247625,0.000247625,0.000247625
164,19161.9,0.4227,0.69698,0.27414,0.86889,0.72829,0.7574,0.72684,0.44069,0.714,0.74269,0.69439,0.41194,1.43586,3.16195,1.01662,1.9592,0.000241438,0.000241438,0.000241438
165,19274,0.42508,0.7012,0.28233,0.87353,0.73395,0.71534,0.70391,0.43087,0.71776,0.70078,0.67568,0.40347,1.46071,3.23059,1.03865,2.02688,0.00023525,0.00023525,0.00023525
166,19386.1,0.4175,0.68769,0.26372,0.8672,0.75295,0.72519,0.7038,0.42289,0.69775,0.77049,0.68585,0.39803,1.53134,3.15389,1.0897,2.07714,0.000229063,0.000229063,0.000229063
167,19498.3,0.41311,0.68582,0.26467,0.86868,0.74221,0.75327,0.71434,0.43412,0.7388,0.74989,0.71118,0.40835,1.49246,3.35996,1.07655,2.07604,0.000222875,0.000222875,0.000222875
168,19610.5,0.40662,0.68375,0.26002,0.86185,0.75121,0.72174,0.73473,0.44511,0.71649,0.73951,0.7065,0.41488,1.4957,3.24727,1.0455,2.04138,0.000216688,0.000216688,0.000216688
169,19722.7,0.41795,0.68853,0.26465,0.87004,0.77077,0.72197,0.7356,0.44629,0.75652,0.7106,0.71529,0.41794,1.44029,3.25634,1.01298,1.95884,0.0002105,0.0002105,0.0002105
170,19835.1,0.42291,0.69182,0.27265,0.8641,0.79298,0.72701,0.72393,0.43972,0.77642,0.71217,0.70428,0.41051,1.48293,3.31411,1.03122,2.057,0.000204313,0.000204313,0.000204313
171,19947.2,0.39736,0.66569,0.25794,0.85789,0.77009,0.7224,0.71906,0.43122,0.75369,0.70775,0.69266,0.39833,1.50221,3.34393,1.08323,2.07872,0.000198125,0.000198125,0.000198125
172,20059.5,0.40233,0.67636,0.26401,0.86486,0.71027,0.77328,0.7093,0.427,0.71502,0.71283,0.67886,0.40196,1.49437,3.25134,1.14419,1.9789,0.000191938,0.000191938,0.000191938
173,20171.6,0.40486,0.67996,0.26498,0.86375,0.74039,0.76029,0.72921,0.43537,0.71582,0.72909,0.69785,0.41326,1.42691,3.1768,1.02096,1.99977,0.00018575,0.00018575,0.00018575
174,20283.8,0.39997,0.65592,0.26209,0.85943,0.75262,0.74627,0.71637,0.43597,0.73405,0.72848,0.68246,0.4066,1.43838,3.35385,0.99689,2.02074,0.000179563,0.000179563,0.000179563
175,20395.9,0.39448,0.65042,0.26127,0.85925,0.77699,0.72238,0.71492,0.42572,0.7739,0.71755,0.70138,0.39895,1.45914,3.27963,1.07026,2.05391,0.000173375,0.000173375,0.000173375
176,20508.2,0.40492,0.67914,0.25987,0.85874,0.75082,0.74554,0.71921,0.42687,0.77105,0.70712,0.71153,0.40512,1.47857,3.31157,1.05867,2.08499,0.000167188,0.000167188,0.000167188
177,20620.4,0.39355,0.65661,0.25307,0.85815,0.75202,0.76149,0.71077,0.42604,0.73756,0.74689,0.68644,0.40214,1.42439,3.3361,1.0359,1.98451,0.000161,0.000161,0.000161
178,20732.5,0.38647,0.65131,0.2517,0.85866,0.72904,0.75139,0.72267,0.43871,0.76444,0.69546,0.68894,0.40523,1.41121,3.36702,1.04661,1.97652,0.000154812,0.000154812,0.000154812
179,20844.6,0.38867,0.66105,0.25297,0.85345,0.74656,0.74041,0.72231,0.4344,0.7202,0.74604,0.70418,0.40953,1.43009,3.26869,1.02279,1.98993,0.000148625,0.000148625,0.000148625
180,20956.8,0.37909,0.64517,0.24281,0.85383,0.76897,0.73065,0.72707,0.44339,0.76897,0.73065,0.7325,0.41513,1.45311,3.2177,1.08238,1.98954,0.000142437,0.000142437,0.000142437
181,21069,0.38805,0.65554,0.2501,0.85494,0.76716,0.73047,0.72612,0.43245,0.7636,0.72709,0.72521,0.41564,1.45592,3.32597,1.07611,2.00883,0.00013625,0.00013625,0.00013625
182,21181.2,0.38465,0.64667,0.24644,0.85584,0.75913,0.73166,0.7291,0.4422,0.73483,0.76455,0.73023,0.41545,1.42314,3.33957,1.0236,2.0054,0.000130062,0.000130062,0.000130062
183,21293.4,0.3899,0.64363,0.24771,0.85314,0.76765,0.71287,0.72863,0.4335,0.7468,0.74326,0.73104,0.41066,1.45383,3.32358,1.12204,1.98298,0.000123875,0.000123875,0.000123875
184,21405.6,0.37804,0.63227,0.24138,0.85183,0.78891,0.72082,0.7286,0.44049,0.78523,0.71744,0.72831,0.41465,1.44494,3.38109,1.07842,1.99198,0.000117687,0.000117687,0.000117687
185,21517.6,0.37161,0.63431,0.24178,0.85252,0.74978,0.73019,0.71689,0.43408,0.74898,0.72748,0.71773,0.41439,1.45821,3.38484,1.06014,2.00624,0.0001115,0.0001115,0.0001115
186,21629.6,0.37474,0.6367,0.24435,0.8524,0.73566,0.74994,0.7227,0.44134,0.73215,0.74668,0.72386,0.41189,1.38509,3.37131,1.05392,1.92927,0.000105312,0.000105312,0.000105312
187,21741.9,0.36921,0.63194,0.23535,0.85168,0.75026,0.76172,0.71846,0.43858,0.74702,0.75827,0.71627,0.40883,1.38813,3.41244,1.06331,1.94192,9.9125e-05,9.9125e-05,9.9125e-05
188,21854.1,0.37621,0.63691,0.24588,0.85135,0.73771,0.76549,0.71195,0.43635,0.72405,0.75138,0.68754,0.39907,1.39277,3.39552,1.0087,1.96225,9.29375e-05,9.29375e-05,9.29375e-05
189,21966.1,0.36534,0.62138,0.23798,0.84933,0.74789,0.76535,0.71337,0.4293,0.74419,0.76197,0.71208,0.40479,1.41124,3.43128,1.03622,1.9739,8.675e-05,8.675e-05,8.675e-05
190,22078.2,0.37163,0.63296,0.24606,0.85126,0.75291,0.74326,0.71553,0.42985,0.74932,0.73988,0.71346,0.40343,1.41657,3.42699,1.06534,1.96904,8.05625e-05,8.05625e-05,8.05625e-05
191,22218.2,0.36359,0.59768,0.20503,0.82226,0.72652,0.74227,0.69642,0.41544,0.723,0.73889,0.69785,0.38897,1.47328,3.32268,1.13059,2.03191,7.4375e-05,7.4375e-05,7.4375e-05
192,22329.5,0.34365,0.56123,0.1946,0.8129,0.73508,0.75472,0.71119,0.42732,0.76285,0.70737,0.70842,0.40332,1.47908,3.38457,1.10835,2.07162,6.81875e-05,6.81875e-05,6.81875e-05
193,22440.4,0.34301,0.56681,0.19592,0.81568,0.73851,0.74227,0.71289,0.43145,0.73974,0.74279,0.71911,0.40458,1.47649,3.43125,1.09189,2.10796,6.2e-05,6.2e-05,6.2e-05
194,22551.3,0.33668,0.55112,0.19047,0.81413,0.74378,0.75677,0.72573,0.43839,0.74463,0.75736,0.73098,0.40568,1.47265,3.43748,1.0487,2.1191,5.58125e-05,5.58125e-05,5.58125e-05
195,22662.3,0.33287,0.5475,0.18832,0.8102,0.74974,0.73772,0.70875,0.44017,0.76441,0.74904,0.73359,0.41473,1.46246,3.48245,1.01648,2.10153,4.9625e-05,4.9625e-05,4.9625e-05
196,22773.3,0.33148,0.53845,0.18845,0.80917,0.78465,0.72817,0.7227,0.43737,0.77946,0.71307,0.71966,0.4129,1.46132,3.48027,1.03573,2.09521,4.34375e-05,4.34375e-05,4.34375e-05
197,22884.4,0.31784,0.53285,0.18017,0.80439,0.73175,0.77811,0.72516,0.43908,0.72826,0.77473,0.72469,0.41657,1.44933,3.50962,1.05141,2.07568,3.725e-05,3.725e-05,3.725e-05
198,22995.6,0.32508,0.53945,0.18627,0.8087,0.74797,0.76201,0.73323,0.44715,0.74429,0.75863,0.73267,0.42582,1.45113,3.54792,1.04604,2.09695,3.10625e-05,3.10625e-05,3.10625e-05
199,23106.7,0.31326,0.53505,0.18181,0.80526,0.75613,0.76652,0.7439,0.45245,0.75247,0.76314,0.74296,0.43016,1.4449,3.52835,1.03039,2.09236,2.4875e-05,2.4875e-05,2.4875e-05
200,23217.9,0.32009,0.52986,0.18078,0.80694,0.75878,0.7592,0.74147,0.44954,0.75519,0.75583,0.74151,0.42633,1.44775,3.55492,1.04327,2.09581,1.86875e-05,1.86875e-05,1.86875e-05
